,gender,medal,athlete,abb,type,year
8060,Men,Gold,GOMES Felipe,BRA,Athletics,2016
8061,Men,Gold,SILVA Daniel,BRA,Athletics,2016
8067,Men,Silver,DI Dongdong,CHN,Athletics,2016
8068,Men,Bronze,SAHATOV Miran,UZB,Athletics,2016
8096,Women,Gold,JIA Juntingxian,CHN,Athletics,2016
8097,Women,Gold,LIU Cuiqing,CHN,Athletics,2016
8098,Women,Gold,SHEN Yaqin,CHN,Athletics,2016
8099,Women,Gold,ZHOU Guohua,CHN,Athletics,2016
8100,Women,Silver,GUILHERMINA Terezinha,BRA,Athletics,2016
8101,Women,Silver,DE OLIVEIRA CORREA Alice,BRA,Athletics,2016
8102,Women,Silver,SALVATINI SPOLADORE Lorena,BRA,Athletics,2016
8103,Women,Silver,SIMPLICIO DA SILVA Thalita Vitoria,BRA,Athletics,2016
8104,Women,Bronze,RESTREPO MUNOZ Yesenia Maria,COL,Athletics,2016
8105,Women,Bronze,ARANGO BUITRAGO Maritza,COL,Athletics,2016
8106,Women,Bronze,LUNA RODRIGUEZ Sonia Sirley,COL,Athletics,2016
8107,Women,Bronze,GONZALEZ Marcela,COL,Athletics,2016
